time,phot_g_mag,phot_bp_mag,phot_rp_mag
1697.08839822392,12.3102950043718,12.5420354342905,11.8973603056735
1697.16239558761,12.473821198896,12.7608091868584,12.0351104775092
1779.617010624,12.503642660277,12.7575626118521,12.093456425375
1779.86717173198,12.1610315698684,12.3624224389054,11.7989251985442
1779.94117445603,12.3982711886846,12.6559645179132,11.976993541517
1780.11729663339,12.5696174453961,12.8952929783205,12.1567716420129
1780.19132894881,11.5197846515357,nan,nan
1780.19132995581,11.5222101333982,11.5954402422892,11.3813741184929
1780.36747910754,12.2623524790579,12.4898882059999,11.8693923174602
1780.44147482655,12.4638070634796,12.7253117555088,12.0245137920904
1780.61763220114,12.6122776757012,12.8603778863651,12.1970203285953
1780.8677843929,12.3576403971688,12.6088225641596,11.9410087515422
1780.94178764114,12.4946064923931,12.7687329633653,12.0549212726827
1781.11796421432,11.9950792664583,12.1345448071414,11.6827390324241
1781.19194887695,11.7598929558634,11.8812762256967,11.5419106369228
1781.36808774791,12.4405363028862,12.7019128025619,12.0064513861332
1781.44209101306,12.4928205648162,12.7600724876326,12.0658121709902
1781.618240782,11.4707718633531,11.5557159568146,11.3347201096498
1781.69221510312,11.9275781645872,12.076058548491,11.6506559684386
1781.86839255876,12.4835930101712,12.7551170320354,12.0517274140305
1781.94239633244,12.5114587893141,12.7747505332872,12.0873881657729
1782.11851842952,11.6556380118103,nan,nan
1782.19255076598,12.0683506255128,12.2515686062486,11.7356655205816
1782.36870216078,12.4962548784878,12.758110446682,12.0678353385204
1824.89511129868,11.5625644538763,11.6353652363628,11.4003503362734
1853.0566168294,12.5704237926945,12.8381855139069,12.1471286894132
1877.55276372616,12.6238471863615,12.8850385970477,12.2051388482706
1877.62677709915,11.5430380718425,11.6219276251042,11.3783617150225
1999.87259122108,12.5536472311136,12.8085439324013,12.1390130177711
2000.04876791485,11.9665672033028,nan,11.6691498670158
2032.28623373509,12.5044299260016,12.7685602141555,12.0906022603709
2032.36024658063,12.6112463111883,12.8730643276793,12.1983736311764
2055.03585790593,11.536053663131,11.6116244199811,11.379107075065
2055.10987830791,11.9788353101351,12.1525107409486,11.6790161165006
nan,nan,12.6113252439296,11.9481165791427
nan,nan,12.7527628169716,12.0513490061503
2162.90762103806,12.1344816735578,nan,nan
2162.98162369357,12.3596369596945,12.6246838097798,11.9529603629154
2233.17150031039,12.4962259338124,12.7567730636497,12.0493462501046
2253.10071266765,12.2875625380423,12.4469823204582,11.9071628245536
2253.17469694979,11.7190767918114,11.8204574814618,11.5081762214633
2324.68139113216,11.5778500144681,11.6665760050483,11.4110095274366
2324.93155379997,12.5765053448706,12.7607828047324,12.0552014607693
2325.10771940046,11.9643460946278,nan,nan
2325.35786590792,12.4370115316221,12.7048491799079,12.0068057912414
2325.43190365404,12.4956386339793,12.7484039568012,12.0665397235008
2325.6080672721,11.459116463129,11.5482029826189,11.3445476745321
2325.68208939014,11.9446323908263,12.0824068512332,11.6482054927211
2325.85823928771,12.4849572087125,12.7524293218647,12.0388390579095
2326.10841822348,11.6826923359294,11.7819022456126,11.4823185203555
2330.36126799015,11.7962608002655,11.9043027350946,11.5513619178773
2330.61143324646,12.4900473114434,12.7486621793601,12.0577900206507
2330.68544274116,12.5428574879345,12.7947599186675,12.1255656396436
2330.86161204433,11.9531679790857,12.1275951154198,11.66953390158
2330.93561794799,12.2338043790219,12.4377323735197,11.8389741110397
nan,nan,12.7694538403315,12.0832241752545
nan,nan,12.8715822913711,12.1952980250059
nan,nan,12.2892185707458,11.7470541635026
nan,nan,12.565266254083,11.9110493400676
2331.68615005028,12.3229012532361,12.4963566033631,11.9550403406598
